,Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
161,Eswatini,1218917.0,1230506.0,+0.95%,Africa,Southern Africa
162,Djibouti,1137096.0,1152944.0,+1.39%,Africa,Eastern Africa
163,Fiji,919422.0,924145.0,+0.51%,Oceania,Melanesia
164,Réunion (France),871540.0,874883.0,+0.38%,Africa,Eastern Africa
165,Comoros,834188.0,850387.0,+1.94%,Africa,Eastern Africa
166,Guyana,821637.0,826353.0,+0.57%,Americas,South America
167,Solomon Islands,781066.0,800005.0,+2.42%,Oceania,Melanesia
168,Bhutan,780914.0,786385.0,+0.70%,Asia,Southern Asia
169,Macao (China)[t],704356.0,713912.0,+1.36%,Asia,Eastern Asia
170,Luxembourg,653313.0,665098.0,+1.80%,Europe,Western Europe
171,Montenegro,614648.0,633552.0,+3.08%,Europe,Southern Europe
172,Suriname,623164.0,628886.0,+0.92%,Americas,South America
173,Western Sahara (disputed),568739.0,579729.0,+1.93%,Africa,Northern Africa
174,Malta,528192.0,532956.0,+0.90%,Europe,Southern Europe
175,Maldives,524106.0,525994.0,+0.36%,Asia,Southern Asia
176,Cape Verde,519741.0,522331.0,+0.50%,Africa,Western Africa
177,Brunei,455370.0,458949.0,+0.79%,Asia,South-eastern Asia
178,Belize,402733.0,411106.0,+2.08%,Americas,Central America
179,Bahamas,397538.0,399440.0,+0.48%,Americas,Caribbean
180,Iceland,380356.0,387558.0,+1.89%,Europe,Northern Europe
181,Guadeloupe (France),384697.0,376517.0,−2.13%,Americas,Caribbean
182,Martinique (France),349459.0,346002.0,−0.99%,Americas,Caribbean
183,Vanuatu,313046.0,320409.0,+2.35%,Oceania,Melanesia
184,Mayotte (France),305269.0,316015.0,+3.52%,Africa,Eastern Africa
185,French Guiana (France),298306.0,303402.0,+1.71%,Americas,South America
186,New Caledonia (France),287123.0,289870.0,+0.96%,Oceania,Melanesia
187,Barbados,288318.0,282336.0,−2.07%,Americas,Caribbean
188,French Polynesia (France),280378.0,281118.0,+0.26%,Oceania,Polynesia
189,São Tomé and Príncipe,226305.0,230871.0,+2.02%,Africa,Middle Africa
190,Samoa,215261.0,216663.0,+0.65%,Oceania,Polynesia
191,Curaçao (Netherlands),185345.0,185427.0,+0.04%,Americas,Caribbean
192,Saint Lucia,178781.0,179285.0,+0.28%,Americas,Caribbean
193,Guam (United States),165180.0,166506.0,+0.80%,Oceania,Micronesia
194,Kiribati,130469.0,132530.0,+1.58%,Oceania,Micronesia
195,Seychelles,125522.0,127951.0,+1.94%,Africa,Eastern Africa
196,Grenada,116913.0,117081.0,+0.14%,Americas,Caribbean
197,Federated States of Micronesia,112114.0,112630.0,+0.46%,Oceania,Micronesia
198,Tonga,105042.0,104597.0,−0.42%,Oceania,Polynesia
199,Aruba (Netherlands),107782.0,107939.0,+0.15%,Americas,Caribbean
200,Jersey (United Kingdom),103490.0,103674.0,+0.18%,Europe,Northern Europe
201,Saint Vincent and the Grenadines,102046.0,101323.0,−0.71%,Americas,Caribbean
202,Antigua and Barbuda,92840.0,93316.0,+0.51%,Americas,Caribbean
203,U.S. Virgin Islands (United States),86507.0,85701.0,−0.93%,Americas,Caribbean
204,Isle of Man (United Kingdom),84132.0,84165.0,+0.04%,Europe,Northern Europe
205,Andorra,79705.0,80856.0,+1.44%,Europe,Southern Europe
206,Cayman Islands (United Kingdom),71591.0,73038.0,+2.02%,Americas,Caribbean
207,Dominica,66826.0,66510.0,−0.47%,Americas,Caribbean
208,Bermuda (United Kingdom),64749.0,64698.0,−0.08%,Americas,Northern America
209,Guernsey (United Kingdom),63725.0,64017.0,+0.46%,Europe,Northern Europe
210,Greenland (Denmark),54990.0,55922.0,+1.69%,Americas,Northern America
211,Faroe Islands (Denmark),54011.0,54714.0,+1.30%,Europe,Northern Europe
212,American Samoa (United States),48342.0,47521.0,−1.70%,Oceania,Polynesia
213,Saint Kitts and Nevis,46709.0,46758.0,+0.10%,Americas,Caribbean
214,Turks and Caicos Islands (United Kingdom),45847.0,46198.0,+0.77%,Americas,Caribbean
215,Northern Mariana Islands (United States),46078.0,45143.0,−2.03%,Oceania,Micronesia
216,Sint Maarten (Netherlands),42139.0,42749.0,+1.45%,Americas,Caribbean
217,Liechtenstein,39317.0,39598.0,+0.71%,Europe,Western Europe
218,British Virgin Islands (United Kingdom),38319.0,38985.0,+1.74%,Americas,Caribbean
219,Monaco,38931.0,38956.0,+0.06%,Europe,Western Europe
220,Gibraltar (United Kingdom),37609.0,38471.0,+2.29%,Europe,Southern Europe
221,Marshall Islands,40077.0,38827.0,−3.12%,Oceania,Micronesia
222,San Marino,34090.0,33733.0,−1.05%,Europe,Southern Europe
223,Caribbean Netherlands (Netherlands)[u],28627.0,29898.0,+4.44%,Americas,Caribbean
224,Saint Martin (France),28870.0,27515.0,−4.69%,Americas,Caribbean
225,Palau,17759.0,17727.0,−0.18%,Oceania,Micronesia
226,Anguilla (United Kingdom),14180.0,14410.0,+1.62%,Americas,Caribbean
227,Cook Islands,14723.0,14222.0,−3.40%,Oceania,Polynesia
228,Nauru,11801.0,11875.0,+0.63%,Oceania,Micronesia
229,Wallis and Futuna (France),11478.0,11370.0,−0.94%,Oceania,Polynesia
230,Saint Barthélemy (France),10920.0,11085.0,+1.51%,Americas,Caribbean
231,Tuvalu,9992.0,9816.0,−1.76%,Oceania,Polynesia
232,Saint Pierre and Miquelon (France),5732.0,5681.0,−0.89%,Americas,Northern America
233,Saint Helena (United Kingdom)[v],5343.0,5289.0,−1.01%,Africa,Western Africa
234,Montserrat (United Kingdom),4453.0,4420.0,−0.74%,Americas,Caribbean
235,Falkland Islands (United Kingdom),3490.0,3477.0,−0.37%,Americas,South America
236,Tokelau (New Zealand),2290.0,2397.0,+4.67%,Oceania,Polynesia
237,Niue,1821.0,1817.0,−0.22%,Oceania,Polynesia
238,Vatican City[w],505.0,496.0,−1.78%,Europe,Southern Europe
